year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,-24.45,-11.01,-17.99,-18.64,-75.23,-87.32,-89.61,-71.55,-50.16,-27.05,-15.96
Operating Margin,-26.07,-20.93,-15.17,-12.77,-68.35,-101.97,-98.34,-95.97,-53.13,-24.75,-17.86
Other Long-Term Assets,29.29,5.37,2.65,4.02,4.28,5.03,11.08,17.42,9.73,5.85,6.3
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receivables Turnover,8.55,16.2,15.61,10.85,3.69,3.41,2.76,2.83,4.39,3.84,4.09
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115.38
Total Stockholders' Equity,37.75,44.99,54.38,71.75,68.58,65.67,49.75,32.24,25.78,37.64,34.64
3-Year Average,0.0,37.2,34.73,28.67,13.57,6.78,-3.29,-12.77,11.09,23.69,0.0
Free Cash Flow/Net Income,1.7,0.59,0.63,0.65,1.19,0.77,0.79,0.75,0.91,6.7,0.9
EBT Margin,-12.89,-9.55,-15.76,-16.69,-62.35,-112.5,-113.78,-95.28,-53.8,-26.52,-18.95
Other Long-Term Liabilities,25.0,21.99,17.82,4.75,4.36,6.27,7.04,7.07,16.7,9.58,9.01
Financial Leverage,2.65,2.22,1.84,1.39,1.46,1.52,2.01,3.1,3.88,2.66,2.89
Tax Rate %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accrued Liabilities,0.0,2.27,2.2,1.93,0.2,3.82,0.37,2.33,0.6,0.5,0.0
Other,2.17,1.6,1.61,2.33,7.32,9.93,11.9,11.36,6.34,3.98,3.5
Total Current Liabilities,37.24,24.65,19.52,19.84,16.42,25.42,25.57,34.84,48.19,38.3,41.67
Market Capitalization,357.25,258.90000000000003,619.14,N/A,1972.6200000000001,1666.34,1003.59,314.24,N/A,N/A,447.2
Operating Cash Flow USD Mil,-15.0,-7.0,-22.0,-24.0,-86.0,-117.0,-107.0,-69.0,-80.0,-42.0,-26.0
Fixed Assets Turnover,20.06,19.92,21.02,16.29,2.67,2.61,2.08,2.05,4.4,3.8,4.44
SG&A,23.18,20.89,23.8,25.58,48.14,45.83,50.4,51.01,35.76,26.07,24.02
Current Ratio,1.75,3.6,4.77,4.33,3.96,2.56,2.21,1.44,1.34,1.67,1.52
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Income USD Mil,-18.0,-23.0,-18.0,-19.0,-106.0,-167.0,-128.0,-99.0,-94.0,-61.0,-49.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,11.53,9.61,8.4,5.19,2.47,1.95,7.04,7.18,11.56,15.42,6.67
Book Value Per Share * USD,0.0,0.0,0.0,0.0,6.05,4.63,4.33,1.85,1.52,1.3,0.99
Payables Period,51.56,38.48,30.28,52.12,135.18,99.21,157.8,185.42,117.08,130.82,139.81
Accounts Receivable,17.48,13.03,16.06,11.02,9.02,12.06,13.87,18.28,23.28,21.41,23.82
Cash & Short-Term Investments,28.83,60.97,67.8,65.95,44.05,42.83,27.84,13.28,18.37,22.91,16.84
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quick Ratio,1.24,3.0,4.3,3.88,3.23,2.16,1.63,0.91,0.86,1.16,0.98
Asset Turnover (Average),1.08,1.05,0.98,0.69,0.32,0.33,0.31,0.38,0.83,0.77,0.88
Days Sales Outstanding,42.7,22.53,23.39,33.63,99.0,107.06,132.12,128.96,83.21,94.94,89.3
