year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Operating Cash Flow CAD Mil,-12.0,23.0,23.0,43.0,62.0,122.0,88.0,5.0,77.0,192.0,240.0
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,0.0,-47.48,-17.27,-115.1,-76.22,-4.65,-59.03,-129.91,-93.76,14.19,27.72
Operating Margin,-23.45,43.24,38.44,38.81,39.64,40.23,74.25,43.85,42.33,41.57,37.91
Other Long-Term Assets,15.82,23.06,4.89,4.57,8.52,8.17,5.15,2.44,2.74,2.1,11.09
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.28,0.0,0.0
Working Capital CAD Mil,-28.0,-25.0,16.0,50.0,83.0,19.0,-17.0,212.0,32.0,-25.0,0.0
Receivables Turnover,0.28,1.74,9.6,6.07,6.45,10.18,9.85,8.6,11.35,10.58,4.82
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.43,-25.0
Revenue CAD Mil,6.0,59.0,91.0,148.0,177.0,198.0,242.0,247.0,293.0,400.0,484.0
Free Cash Flow CAD Mil,-118.0,-28.0,-16.0,-171.0,-135.0,-9.0,-143.0,-321.0,-275.0,57.0,134.0
Total Stockholders' Equity,45.9,41.22,37.32,24.22,26.18,25.46,19.29,14.47,13.11,10.42,13.56
3-Year Average,0.0,60.2,122.87,193.46,91.78,30.55,17.71,10.93,13.88,18.29,0.0
Free Cash Flow/Net Income,3.29,-1.06,0.23,4.21,-95.84,-0.19,2.6,10.58,-7.63,1.89,6.69
EBT Margin,-828.69,48.75,-72.97,-38.49,0.78,33.44,-46.0,-24.48,12.63,6.74,2.87
Other Long-Term Liabilities,-34.48,5.21,11.12,13.64,10.24,9.21,9.78,7.01,10.9,8.37,10.61
Financial Leverage,2.19,2.43,2.68,5.32,5.17,5.24,7.08,9.82,10.62,13.78,9.62
Tax Rate %,0.0,0.0,0.0,0.0,490.07,31.47,0.0,0.0,13.35,27.06,24.77
Accrued Liabilities,4.71,0.0,0.0,0.0,0.29,0.0,0.26,0.26,0.3,0.37,0.0
Other,0.0,36.55,36.09,36.2,36.1,43.14,7.53,44.42,31.44,33.07,32.47
Total Current Liabilities,13.42,9.95,5.5,4.33,6.31,4.62,7.57,5.96,6.14,5.91,4.63
Market Capitalization,199.44,169.85,503.44,N/A,940.47,841.6999999999999,1047.42,1097.98,N/A,N/A,1651.72
Fixed Assets Turnover,0.03,0.1,0.2,0.16,0.13,0.13,0.14,0.12,0.12,0.14,0.14
SG&A,112.98,6.15,6.97,6.99,5.43,14.51,15.86,8.49,5.14,4.45,5.18
Current Ratio,0.52,0.43,1.31,1.6,1.6,1.18,0.91,2.15,1.14,0.9,1.54
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.32,0.0,0.0
