year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Operating Cash Flow CAD Mil,67.0,50.0,45.0,70.0,63.0,99.0,193.0,262.0,287.0,458.0,578.0
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,9.97,20.73,13.5,3.31,-4.28,-8.8,-25.45,5.61,-10.81,-14.27,-5.04
Operating Margin,16.44,15.14,11.86,19.8,11.99,15.31,14.65,17.7,21.39,24.16,23.63
Other Long-Term Assets,3.93,4.76,12.57,9.89,9.5,9.24,8.63,10.13,30.26,7.01,13.14
Net Income % 3-Year Average,0.0,30.73,-6.03,0.0,-38.49,1.1,47.94,100.7,86.15,36.63,0.0
Working Capital CAD Mil,-13.0,-4.0,-70.0,62.0,60.0,60.0,-52.0,32.0,-55.0,-82.0,0.0
Receivables Turnover,7.81,7.37,7.35,7.74,5.49,5.47,5.47,5.48,5.82,7.97,9.4
EPS % Year over Year,0.0,0.0,-73.42,-4.76,-55.0,-22.22,342.86,35.48,4.76,6.82,16.67
Revenue CAD Mil,214.0,187.0,180.0,271.0,349.0,675.0,942.0,1028.0,1096.0,1978.0,2080.0
Free Cash Flow CAD Mil,21.0,39.0,24.0,9.0,-15.0,-59.0,-240.0,58.0,-118.0,-282.0,-105.0
Total Stockholders' Equity,35.41,44.12,35.57,41.33,40.0,32.25,40.14,41.98,25.02,34.87,36.34
3-Year Average,6.04,-2.4,-0.59,8.97,25.47,54.56,50.53,40.59,17.52,27.98,0.0
Free Cash Flow/Net Income,-1.12,1.24,1.36,0.38,-1.03,-2.93,-3.17,0.49,-0.9,-1.46,-0.47
EBT Margin,-10.23,8.58,-1.33,2.03,1.87,8.98,7.69,12.67,11.82,11.43,9.67
Other Long-Term Liabilities,-44.95,35.54,15.04,15.56,18.86,59.52,16.08,17.45,12.42,18.53,17.92
Financial Leverage,2.86,2.26,2.81,2.49,3.47,4.14,3.15,2.9,4.82,3.3,3.11
Tax Rate %,0.0,0.0,0.0,0.0,0.0,15.1,23.2,33.56,28.67,42.11,51.25
Accrued Liabilities,0.0,0.0,0.0,3.79,4.34,4.81,5.27,4.19,4.01,3.59,2.0
Other,22.39,23.83,26.93,16.41,14.14,14.22,12.11,14.57,17.05,16.51,16.09
Total Current Liabilities,5.19,5.0,12.72,6.67,7.56,8.23,10.2,8.5,7.11,7.24,4.82
