year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Payables Period,0.0,0.0,0.0,56.53,56.43,51.72,49.68,66.18,62.08,55.85,55.38
Dividends CAD,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.17,0.2,0.2,0.2
Shares Mil,28.0,28.0,51.0,51.0,51.0,51.0,55.0,57.0,62.0,64.0,64.0
Current Ratio,78.15,1.32,70.78,1.46,2.32,2.32,1.74,1.26,1.46,2.06,2.15
Operating Margin,0.0,0.0,8.96,10.67,10.91,12.02,11.83,15.61,13.77,8.4,8.29
Other Short-Term Liabilities,0.0,0.0,0.0,0.01,0.95,1.78,1.98,2.57,0.79,0.26,0.71
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,13.98,25.74,21.23,-0.28,0.0
Cash Conversion Cycle,0.0,0.0,0.0,46.92,58.09,45.93,29.34,26.6,40.74,50.32,86.7
Total Stockholders' Equity,-45.34,-48.17,-55.98,17.33,19.83,20.48,23.44,16.54,23.75,21.95,20.04
Total Current Liabilities,1.28,75.94,1.41,24.16,16.83,16.21,19.39,23.16,21.54,14.67,14.33
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,1.44,0.15,0.24,0.01,-0.08,-0.08,0.0
Free Cash Flow/Net Income,0.0,0.0,0.0,-0.11,2.05,4.87,5.26,-0.14,0.15,-1.73,-4.27
Taxes Payable,0.0,0.0,0.0,0.56,0.1,0.17,0.31,0.06,0.61,0.95,0.39
Accounts Receivable,1.32,1.34,1.52,11.33,10.48,10.54,10.73,10.85,11.27,13.37,12.0
Interest Coverage,-41.77,0.71,0.36,1.69,1.87,1.44,2.05,0.14,4.07,2.27,1.4
EBT Margin,0.0,0.0,-4.78,8.06,4.92,1.85,3.54,-3.22,12.43,5.78,1.88
4. close,3.75,1.25,0.85,N/A,2.47,5.28,8.4,12.08,N/A,N/A,5.57
Other Current Assets,0.0,0.0,0.0,2.44,2.89,1.87,2.32,1.77,1.38,1.37,0.88
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,-15.27,0.0,0.0,38.32,0.0,0.0
Financial Leverage,0.0,0.0,0.0,6.3,5.45,5.24,4.51,6.29,4.33,4.66,5.11
Financial Leverage (Average),0.0,0.0,0.0,6.3,5.45,5.24,4.51,6.29,4.33,4.66,5.11
Book Value Per Share * CAD,-0.54,-0.57,-0.61,0.0,1.48,1.65,1.96,2.08,2.62,2.56,2.34
