ticker,AX-UN.to,CAR-UN.to,CUF-UN.to,D-UN.to,DRG-UN.to,HR-UN.to,REI-UN.to
Diluted,1.47,5.76,-2.4,2.26,2.93,1.99,1.99
EBITDA,342.0,949.0,-279.0,242.0,619.0,780.0,815.0
Other income (expense),16.0,19.0,-663.0,23.0,91.0,141.0,-29.0
Gain on sale of equity investment,36.0,571.0,N/A,23.0,330.0,-100.0,163.0
Operating income,287.0,345.0,382.0,172.0,193.0,739.0,662.0
Weighted average shares outstanding Basic,152.0,137.0,184.0,65.0,175.0,289.0,323.0
Weighted average shares outstanding Diluted,152.0,139.0,184.0,65.0,177.0,289.0,323.0
Net income from continuing operations,245.0,796.0,-441.0,158.0,503.0,575.0,639.0
Interest expenses,96.0,129.0,165.0,71.0,36.0,273.0,169.0
Basic,1.47,5.83,-2.4,2.27,2.98,1.99,1.99
Net income available to common shareholders,243.0,796.0,-441.0,158.0,498.0,575.0,643.0
"Sales General and administrative",16.0,54.0,29.0,12.0,41.0,N/A,61.0
Total expenses,218.0,305.0,416.0,162.0,143.0,442.0,486.0
Income before income taxes,245.0,806.0,-446.0,154.0,584.0,507.0,636.0
Net income,245.0,796.0,-441.0,158.0,498.0,575.0,643.0
Revenue,505.0,650.0,797.0,335.0,335.0,1181.0,1148.0
Operating expenses,202.0,246.0,387.0,151.0,101.0,442.0,415.0
Depreciation and amortization,N/A,5.0,N/A,N/A,0.0,N/A,N/A
Provision for income taxes,N/A,N/A,-6.0,-4.0,81.0,-69.0,N/A
Interest income,N/A,N/A,N/A,6.0,6.0,N/A,N/A
