year,2013,2014,2015,2016,2017,TTM
Diluted,1.98,1.45,1.62,1.4,-2.13,-2.4
EBITDA,402.0,360.0,455.0,419.0,-224.0,-279.0
Other income (expense),36.0,-17.0,-18.0,-35.0,-635.0,-663.0
Provision for income taxes,2.0,-0.0,1.0,1.0,-5.0,-6.0
Gain on sale of equity investment,3.0,N/A,N/A,N/A,N/A,N/A
Operating income,356.0,372.0,471.0,452.0,410.0,382.0
Weighted average shares outstanding Basic,125.0,136.0,168.0,172.0,184.0,184.0
Weighted average shares outstanding Diluted,136.0,147.0,168.0,173.0,184.0,184.0
Net income from continuing operations,255.0,199.0,272.0,242.0,-392.0,-441.0
Interest expenses,139.0,156.0,180.0,174.0,172.0,165.0
Basic,2.03,1.47,1.62,1.4,-2.13,-2.4
Net income available to common shareholders,255.0,199.0,272.0,242.0,-392.0,-441.0
"Sales General and administrative",12.0,40.0,16.0,17.0,26.0,29.0
Total expenses,306.0,368.0,418.0,415.0,425.0,416.0
Income before income taxes,257.0,199.0,273.0,243.0,-397.0,-446.0
Net income,255.0,199.0,272.0,242.0,-392.0,-441.0
Revenue,662.0,740.0,889.0,867.0,835.0,797.0
Operating expenses,294.0,329.0,402.0,398.0,399.0,387.0
